"gene_symbol","ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","in_ECM","in_VEGF","in_IGF","in_NFKB","in_EMT","pathway_count"
"TNC","ENSG00000041982",72.7616089246547,1.55577508536353,0.326083115427288,4.77109979559934,1.8322272776255e-06,0.000141379723881737,TRUE,FALSE,TRUE,TRUE,TRUE,4
"MMP2","ENSG00000087245",69.9263337285085,1.17389833997915,0.126577866323484,9.27412014497953,1.79091006675145e-20,1.43228032588447e-17,TRUE,FALSE,TRUE,FALSE,TRUE,3
"VEGFA","ENSG00000112715",71.0221360131768,1.32739817533618,0.148805454442339,8.92035967573046,4.64776285062269e-19,3.37913485435045e-16,FALSE,TRUE,FALSE,TRUE,TRUE,3
"CCN1","ENSG00000142871",84.7213926391888,1.75936220455544,0.217774070114142,8.0788415426745,6.53849213229036e-16,3.60631660882704e-13,FALSE,FALSE,TRUE,TRUE,TRUE,3
"SERPINE1","ENSG00000106366",170.634250467288,2.87763853378526,0.380765192596703,7.55751468289589,4.10843659479941e-14,1.82540120371713e-11,TRUE,FALSE,FALSE,TRUE,TRUE,3
"CD44","ENSG00000026508",68.3334940195699,0.769455448087956,0.104928739169471,7.33312392942416,2.24848831708247e-13,7.99212680705202e-11,TRUE,FALSE,FALSE,TRUE,TRUE,3
"FN1","ENSG00000115414",338.412828680865,0.522566476779703,0.111071072577361,4.70479364837083,2.54122854738006e-06,0.000178276099190105,TRUE,FALSE,TRUE,FALSE,TRUE,3
"IL6","ENSG00000136244",5.94496990691164,3.53943514033181,0.943544281155316,3.75121254086557,0.000175981438340804,0.00485314328665718,FALSE,FALSE,TRUE,TRUE,TRUE,3
"JUN","ENSG00000177606",51.8026153717725,1.4524795002076,0.101897190859945,14.2543625388455,4.21130166305527e-46,3.36798850502845e-42,FALSE,FALSE,FALSE,TRUE,TRUE,2
"IGFBP4","ENSG00000141753",90.075532666079,1.58416780949672,0.121502392506567,13.0381614453484,7.42253996762859e-39,2.37447053564438e-35,FALSE,FALSE,TRUE,FALSE,TRUE,2
"GEM","ENSG00000164949",37.6069806484167,2.1912645479199,0.20020978531172,10.9448424037226,7.03399463350646e-28,9.37572868024465e-25,FALSE,FALSE,FALSE,TRUE,TRUE,2
"VEGFC","ENSG00000150630",19.3914819574906,2.90360454434062,0.306863130980787,9.46221377283156,3.01491432577947e-21,2.6790863689357e-18,FALSE,TRUE,FALSE,FALSE,TRUE,2
"PLAUR","ENSG00000011422",18.9575681928669,2.37531923026705,0.278389715340696,8.53235266741127,1.43401117575852e-17,9.55708698177395e-15,FALSE,FALSE,FALSE,TRUE,TRUE,2
"THBS1","ENSG00000137801",99.9585189021693,1.55819627225696,0.19908425827683,7.82681808066542,5.00372308237247e-15,2.30796994882315e-12,TRUE,FALSE,FALSE,FALSE,TRUE,2
"ICAM1","ENSG00000090339",8.84269371408942,2.60797108002587,0.349729848982343,7.45710178188864,8.84463799486362e-14,3.62743550584215e-11,TRUE,FALSE,FALSE,TRUE,FALSE,2
"MMP14","ENSG00000157227",17.7731478004678,1.31731906120639,0.203296312622331,6.47979810461987,9.18454332521071e-11,2.40830771289746e-08,TRUE,FALSE,FALSE,FALSE,TRUE,2
"FGF2","ENSG00000138685",23.3926511334488,1.30808711458438,0.206458289895449,6.33584204948517,2.36048513898113e-10,5.72059996939442e-08,TRUE,FALSE,FALSE,FALSE,TRUE,2
"CSF1","ENSG00000184371",18.139842570372,1.35906725969465,0.228335944797248,5.952051311507,2.64802319180248e-09,4.98295658269184e-07,FALSE,FALSE,TRUE,TRUE,FALSE,2
"ADAM12","ENSG00000148848",69.1397023655506,1.62980463524705,0.292479466111476,5.57237284693983,2.51292892244365e-08,3.621107938242e-06,TRUE,FALSE,FALSE,FALSE,TRUE,2
"PTX3","ENSG00000163661",12.4088227952777,2.05789768930356,0.387655537550725,5.30857292096409,1.10486881514445e-07,1.33881641653299e-05,FALSE,FALSE,FALSE,TRUE,TRUE,2
"ITGA2","ENSG00000164171",5.87083237162171,1.6763425184898,0.319034792741946,5.25441913116267,1.48492373063743e-07,1.69652536225327e-05,TRUE,FALSE,FALSE,FALSE,TRUE,2
"SAT1","ENSG00000130066",155.830411246173,0.528207680763425,0.100869621681605,5.23653873145985,1.63615919586046e-07,1.84298354491465e-05,FALSE,FALSE,FALSE,TRUE,TRUE,2
"CXCL1","ENSG00000163739",3.7371203694445,2.3555836806548,0.45369771110762,5.19196730110027,2.08083554901896e-07,2.19431601366703e-05,FALSE,FALSE,FALSE,TRUE,TRUE,2
"AREG","ENSG00000109321",7.12744202143434,2.9042975797071,0.559782366452176,5.18826199923756,2.12265823104864e-07,2.21907963435444e-05,FALSE,FALSE,FALSE,TRUE,TRUE,2
"IGFBP2","ENSG00000115457",9.09345847149386,1.14427203163591,0.236635278625356,4.83559356949282,1.32748911041493e-06,0.000106699438799431,FALSE,FALSE,TRUE,FALSE,TRUE,2
"IGFBP3","ENSG00000146674",24.2776236752654,1.08988655473729,0.227605120890914,4.78849751038622,1.68034647974575e-06,0.000131750695801634,FALSE,FALSE,TRUE,FALSE,TRUE,2
"SNTB1","ENSG00000172164",101.955232240405,-0.662538860377277,0.139113563955767,-4.76257556443554,1.91137587549423e-06,0.000143532662575259,TRUE,FALSE,FALSE,FALSE,TRUE,2
"TNFAIP3","ENSG00000118503",13.3328784783438,1.11874355742452,0.23695748715082,4.72128385085574,2.3436060118994e-06,0.000169619810680231,FALSE,FALSE,FALSE,TRUE,TRUE,2
"BMP1","ENSG00000168487",35.8962537381901,0.882783957941082,0.196205617770481,4.49927972487388,6.81840898546897e-06,0.000409010400238696,TRUE,FALSE,FALSE,FALSE,TRUE,2
"COL1A1","ENSG00000108821",176.606087548044,1.18080532836247,0.263609394173533,4.47937499368915,7.48619164540828e-06,0.000438614048968152,TRUE,FALSE,FALSE,FALSE,TRUE,2
"LAMC2","ENSG00000058085",8.33328499706828,-1.43607995677377,0.358452579025347,-4.00633177386686,6.16690110220658e-05,0.00220177640914719,TRUE,FALSE,FALSE,FALSE,TRUE,2
"SPHK1","ENSG00000176170",12.1944197358054,1.14833525179845,0.286598157259481,4.00677821092465,6.15526123624179e-05,0.00220177640914719,FALSE,TRUE,FALSE,TRUE,FALSE,2
"FBN2","ENSG00000138829",30.3357180106819,-0.596092481542916,0.149561701037762,-3.98559576019005,6.73110235482212e-05,0.0023405213514213,TRUE,FALSE,FALSE,FALSE,TRUE,2
"COL16A1","ENSG00000084636",72.0221973127675,1.05184330922418,0.288722825266778,3.64309024841483,0.00026938433428781,0.00669068699834398,TRUE,FALSE,FALSE,FALSE,TRUE,2
"CTNNB1","ENSG00000168036",89.8585108951993,1.02209597683115,0.0646066041950842,15.8203018029683,2.25409575758646e-56,3.60542616425954e-52,FALSE,TRUE,FALSE,FALSE,FALSE,1
"PAPPA","ENSG00000182752",100.825699223202,1.60830927699724,0.114008837408928,14.1068825325228,3.44472554089436e-45,1.83661283422018e-41,FALSE,FALSE,TRUE,FALSE,FALSE,1
"IGF1","ENSG00000017427",118.545130628251,1.48005890479098,0.112667221310961,13.1365528284933,2.03278218645249e-39,8.12858776807689e-36,FALSE,FALSE,TRUE,FALSE,FALSE,1
"IGFBP7","ENSG00000163453",302.218211489221,0.652381204689333,0.0519937535736306,12.5472996244726,4.1129831396564e-36,1.0964527553134e-32,FALSE,FALSE,TRUE,FALSE,FALSE,1
